PacketCounter,SampleTimeFine,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,RT_Acc_X,RT_Acc_Y,RT_Acc_Z,RT_Gyr_X,RT_Gyr_Y,RT_Gyr_Z,LT_Acc_X,LT_Acc_Y,LT_Acc_Z,LT_Gyr_X,LT_Gyr_Y,LT_Gyr_Z,RS_Acc_X,RS_Acc_Y,RS_Acc_Z,RS_Gyr_X,RS_Gyr_Y,RS_Gyr_Z,LS_Acc_X,LS_Acc_Y,LS_Acc_Z,LS_Gyr_X,LS_Gyr_Y,LS_Gyr_Z
52364,0,10.602563,2.253516,0.484404,-0.185967,-0.309907,0.471384,10.832054,0.27551,-2.696895,-0.642714,0.177044,-1.206692,10.26617,3.206007,3.752023,0.459597,-0.372507,-0.288965,9.13965,5.548353,-0.70889,-0.403063,0.616726,-0.028038,10.719512,2.799394,0.661477,1.009743,0.266198,-1.244697
52365,0,10.722258,2.263879,0.296218,-0.106202,-0.23243,0.52231,10.980099,0.692823,-2.157699,-0.356491,0.212407,-1.257502,10.006376,3.336503,4.261409,0.424464,-0.446322,-0.392764,9.382575,5.400276,-0.096546,-0.342753,0.675664,0.069123,9.956415,2.615446,0.448305,1.216893,0.108494,-1.230054
52366,0,10.604209,2.514456,0.000934,-0.038796,-0.125771,0.589488,10.924244,1.104055,-1.284874,-0.187001,0.271002,-1.333266,9.433729,2.433418,4.236941,0.469898,-0.504688,-0.453647,9.795841,5.029039,0.549948,-0.259897,0.682416,0.121308,9.907439,2.221136,0.317887,1.489515,-0.031473,-1.270465
52367,0,10.602009,2.778313,-0.266811,0.034332,-0.026436,0.635379,10.938605,1.835583,-0.585701,-0.125773,0.303504,-1.366914,8.749635,1.871388,3.068813,0.537534,-0.590979,-0.463261,10.287056,5.167006,0.826843,-0.239412,0.72476,0.198213,9.37396,1.519666,0.217867,1.787783,-0.075535,-1.311568
52368,0,10.542764,2.793947,-0.623325,0.125428,0.09739,0.683788,11.029299,1.829853,-0.476733,-0.174984,0.316551,-1.40617,8.595404,0.781819,1.91078,0.601509,-0.68654,-0.502631,10.464949,4.504771,0.933275,-0.229799,0.757948,0.257837,9.379573,1.268751,0.295973,2.065347,-0.130357,-1.357251
52369,0,10.343321,2.47053,-0.566165,0.261957,0.208284,0.724645,10.57269,0.770367,-0.413072,-0.237471,0.325479,-1.459389,7.985176,0.68004,1.339708,0.642709,-0.72774,-0.533302,11.308236,3.99463,0.884489,-0.232889,0.792854,0.262759,9.434181,1.708596,0.926776,2.208541,-0.128642,-1.384844
52370,0,9.79518,2.230959,-0.59641,0.375026,0.253489,0.77832,10.671407,-0.216983,-0.324863,-0.227171,0.337037,-1.456871,7.558013,1.767266,2.035363,0.719961,-0.84127,-0.556651,11.150018,2.755781,1.043544,-0.143854,0.860947,0.231859,8.668169,2.249567,0.915303,1.995292,-0.188153,-1.260076
52371,0,9.038507,2.008679,-0.440131,0.382694,0.223963,0.832681,10.383538,-0.950353,-0.049499,-0.108378,0.412456,-1.41773,7.927977,3.169968,3.950109,0.836353,-0.966246,-0.554364,11.205938,2.610229,0.86404,-0.025177,0.971958,0.124971,7.357246,1.567921,0.193318,1.446242,-0.428482,-0.91968
52372,0,8.191865,2.103828,-0.95169,0.298923,0.116159,0.874109,9.992487,-0.886717,0.276645,-0.000687,0.501149,-1.392781,7.098091,4.502203,5.340475,0.891744,-0.971282,-0.461894,10.427175,2.142447,0.712149,0.102998,1.03536,0.00515,6.690601,-0.498698,-0.293578,0.641107,-0.763217,-0.445982
52373,0,7.548986,2.484262,-1.289596,0.22671,0.009155,0.931101,8.853804,-0.5275,0.878019,-0.026894,0.585494,-1.340823,4.801943,4.993455,4.14923,0.80763,-1.217453,-0.250632,10.328102,2.977315,0.311569,0.059052,1.041082,-0.168917,5.830517,-3.491745,-0.526163,0.195124,-0.996106,0.094758
52374,0,6.589406,3.599926,-0.691875,0.122682,-0.224078,0.964061,8.873777,-0.823396,1.127763,-0.203938,0.637907,-1.173845,3.341311,3.64358,1.578059,0.611931,-1.363828,0.020257,10.077487,3.048175,-0.756038,-0.287136,1.031242,-0.319867,4.579801,-6.378072,-1.07597,0.014992,-1.203372,0.639967
52375,0,5.98136,4.361006,-0.89938,-0.15793,-0.307507,0.993818,8.716752,-3.434948,1.606753,-0.396889,0.701421,-0.982379,3.150337,2.079899,-2.248427,0.391858,-1.54214,0.426649,10.350991,1.01623,-1.735963,-0.548411,0.966472,-0.648206,11.371294,1.710944,8.917141,-0.193638,-0.730033,1.04189
52376,0,6.616125,0.570392,3.69972,-0.528954,0.017281,1.015335,8.740919,-6.338856,1.581307,-0.487525,0.74605,-0.592812,23.447395,0.719761,2.105906,0.20703,-1.213109,1.009856,13.87999,-0.938367,-3.880554,-0.742288,0.869664,-1.212083,25.057866,22.079211,18.7828,-0.875026,-0.165369,0.534217
